spend_date,spend_description,amount,category
2024-01-04,LARRY HOPKINS HONDA 7074304151 CA,265.4,Other
2024-01-04,CICEROS PIZZA SAN JOSE CA,28.18,Dining
2024-01-05,USPS PO 0545640143 LOS ALTOS CA,15.6,Other
2024-01-07,TRINETHRA SUPER MARKET CUPERTINO CA,7.92,Grocery
2024-01-04,SPEEDWAY 5447 LOS ALTOS HIL CA,31.94,Other
2024-01-06,ATT*BILL PAYMENT 800-288-2020 TX,300.29,Other
2024-01-07,AMZN Mktp US*RT4G124P0 Amzn.com/bill WA,6.53,Other
2024-01-07,AMZN Mktp US*RT0Y474Q0 Amzn.com/bill WA,21.81,Other
2024-01-05,HALAL MEATS SAN JOSE CA,24.33,Grocery
2024-01-09,VIVINT INC/US 800-216-5232 UT,52.14,Other
2024-01-09,COSTCO WHSE #0143 MOUNTAIN VIEW CA,75.57,Grocery
2024-01-11,WALGREENS #689 MOUNTAIN VIEW CA,18.54,Other
2024-01-12,GOOGLE *YouTubePremium g.co/helppay# CA,22.99,Other
2024-01-13,FEDEX789226298200 Collierville TN,117.86,Other
2024-01-19,SHELL OIL 57444212500 FREMONT CA,7.16,Other
2024-01-19,LEXUS OF FREMONT FREMONT CA,936.1,Other
2024-01-19,STARBUCKS STORE 10885 CUPERTINO CA,11.3,Dining
2024-01-22,TST* CHAAT BHAVAN MOUNTAI MOUNTAIN VIEW CA,28.95,Dining
2024-01-23,AMZN Mktp US*R06VS6MN0 Amzn.com/bill WA,7.67,Other
2024-01-23,UALR REMOTE PAY 501-569-3202 AR,2163.19,Other
2024-01-23,UALR REMOTE PAY 501-569-3202 AR,50,Other
2024-01-24,AMZN Mktp US*R02SO5L22 Amzn.com/bill WA,8.61,Other
2024-01-24,TIRUPATHI BHIMAS MILPITAS CA,58.18,Dining
2024-01-25,AMZN Mktp US*R09PP5NE2 Amzn.com/bill WA,28.36,Other
2024-01-26,COSTCO WHSE #0143 MOUNTAIN VIEW CA,313.61,Grocery
2024-01-29,AMZN Mktp US*R25221T90 Amzn.com/bill WA,8.72,Other
2024-01-29,COMCAST CALIFORNIA 800-COMCAST CA,97,Other
2024-01-29,TRADER JOE S #127 LOS ALTOS CA,20.75,Grocery
2024-01-30,Netflix 1 8445052993 CA,15.49,Other
2024-01-30,ATT*BILL PAYMENT 800-288-2020 TX,300.35,Other
2024-01-30,APNI MANDI FARMERS MARKE SUNNYVALE CA,36.76,Grocery
